ID,Title,Mean,Episodes,Rating,Popularity,Genres
396,Seikai no Senki,7.64,13,pg_13,4139,"Action, Military, Romance, Sci-Fi, Space"
5485,Shin Mazinger Shougeki! Z-hen,7.64,26,r,5669,"Drama, Mecha, Shounen, Super Power"
59095,"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu 2nd Season",7.64,12,pg_13,2056,"Adventure, Fantasy, Reincarnation"
53446,Tondemo Skill de Isekai Hourou Meshi,7.64,12,pg_13,878,"Adventure, Comedy, Fantasy, Gourmet, Isekai"
12883,Tsuritama,7.64,12,pg_13,1529,"Comedy, Sci-Fi"
59160,Wind Breaker Season 2,7.64,12,pg_13,1322,"Action, Delinquents, School"
6956,Working!!,7.64,13,pg_13,564,"Comedy, Love Status Quo, Romance, Seinen, Workplace"
48491,Yama no Susume: Next Summit,7.64,12,pg_13,4658,"Adventure, CGDCT, Iyashikei, Slice of Life"
55973,30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,7.64,12,pg_13,2536,"Adult Cast, Boys Love, Comedy, Workplace"
48553,Akebi-chan no Sailor-fuku,7.64,12,pg_13,1297,"CGDCT, School, Seinen, Slice of Life"
32863,Ansatsu Kyoushitsu: Kagaijugyou-hen,7.64,8,pg_13,2759,"Action, Comedy, School, Shounen"
1961,Arashi no Yoru ni,7.64,1,g,4858,"Adventure, Anthropomorphic, Comedy, Drama, Fantasy"
59245,Cang Yuan Tu: Dongning Fu Fanwai Pian,7.64,4,pg_13,12805,"Action, Adventure, Fantasy, Historical, Martial Arts"
34439,Code Geass: Hangyaku no Lelouch II - Handou,7.64,1,r,2644,"Mecha, Military, School, Sci-Fi, Super Power"
42423,Date A Bullet: Nightmare or Queen,7.64,1,pg_13,2672,"Action, Fantasy, Isekai, Sci-Fi"
51916,Dekiru Neko wa Kyou mo Yuuutsu,7.64,13,pg_13,2023,"Adult Cast, Anthropomorphic, Comedy"
55733,Di Yi Xulie,7.64,16,pg_13,12163,"Action, Adventure, Fantasy, Sci-Fi"
2392,Doraemon Movie 26: Nobita no Kyouryuu 2006,7.64,1,pg,5535,"Adventure, Comedy, Kids, Time Travel"
1015,Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,7.64,1,pg_13,2819,Comedy
74,Gakuen Alice,7.64,26,g,2245,"Comedy, School, Shoujo, Super Power"
42940,Hanma Baki: Son of Ogre,7.64,12,r,1414,"Combat Sports, Gore, Shounen, Sports"
61851,Isekai Quartet 3,7.64,11,pg_13,4120,"Comedy, Fantasy, Isekai, Parody"
8525,Kami nomi zo Shiru Sekai,7.64,12,pg_13,364,"Comedy, Harem, Otaku Culture, Romance, Shounen, Supernatural"
61295,Kidou Senshi Gundam: GQuuuuuuX - Beginning,7.64,1,pg_13,7394,"Mecha, Sci-Fi, Space"
10460,Kimi to Boku.,7.64,13,pg_13,1388,"Iyashikei, School, Shounen, Slice of Life"
15487,Kuroko no Basket NG-shuu,7.64,9,pg_13,2916,"Comedy, School, Shounen, Sports, Team Sports"
42290,Ling Long: Incarnation Part 2,7.64,6,r,10870,"Action, Drama, Horror, Sci-Fi, Suspense"
7305,Meitantei Conan Movie 10: Tantei-tachi no Requiem Recap,7.64,1,pg_13,6783,"Adventure, Comedy, Detective, Mystery, Shounen"
14511,Minami-ke Tadaima,7.64,13,pg_13,3112,"CGDCT, Comedy, School, Seinen"
9510,Mitsudomoe Zouryouchuu!,7.64,8,pg_13,3534,"Comedy, Gag Humor, School, Shounen"
18849,Natsume Yuujinchou: Nyanko-sensei to Hajimete no Otsukai,7.64,1,pg_13,4025,"Iyashikei, Mythology, Shoujo, Slice of Life, Supernatural"
51678,Oniichan wa Oshimai!,7.64,12,pg_13,1487,"CGDCT, Comedy, Magical Sex Shift, School, Shounen"
5530,Pandora Hearts,7.64,25,pg_13,571,"Adventure, Fantasy, Mystery, Shounen"
34542,Inuyashiki,7.63,11,r,336,"Action, Drama, Gore, Psychological, Sci-Fi, Seinen, Suspense"
39071,Machikado Mazoku,7.63,12,pg_13,1503,"CGDCT, Comedy, Mahou Shoujo, School"
